label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Total lipids in small VLDL	0.125621779	0.107806033	-0.027486622	0.27873018	BMI_European_women	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
Concentration of small VLDL particles	0.138011238	0.075544148	-0.014200206	0.290222682	BMI_European_women	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL
Phospholipids in small VLDL	0.130567959	0.055290695	-0.002957672	0.26409359	BMI_European_women	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
Triglycerides in small VLDL	0.172486886	0.006794957	0.047585494	0.297388278	BMI_European_women	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
Serum total cholesterol	-0.001975697	0.978694696	-0.146978742	0.143027347	BMI_European_women	Serum total cholesterol (mmol/l)	Cholesterol	Cholesterol
Serum total triglycerides	0.174114635	0.004676413	0.053463208	0.294766061	BMI_European_women	Serum total triglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids
Sphingomyelins	0.035517106	0.630455752	-0.109183848	0.180218059	BMI_European_women	Sphingomyelins (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids
Total fatty acids	0.041247416	0.547333576	-0.093099947	0.17559478	BMI_European_women	Total fatty acids (mmol/l)	Fatty acids	Fatty acids
Total phosphoglycerides	-0.08855686	0.243525335	-0.237389311	0.060275591	BMI_European_women	Total phosphoglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids
Tyrosine	0.252797362	7.50E-08	0.160680917	0.344913808	BMI_European_women	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids
Urea	0.015865981	0.784834482	-0.09803346	0.129765422	BMI_European_women	Urea	Amino acids	Amino acids
Valine	0.212328342	7.06E-06	0.119678646	0.304978038	BMI_European_women	Valine (mmol/l)	Amino acids	Branched-chain amino acids
Mean diameter for VLDL particles	0.184912075	0.001204027	0.07297998	0.29684417	BMI_European_women	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size
Total cholesterol in very large HDL	-0.174708477	0.004926813	-0.296492034	-0.05292492	BMI_European_women	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Cholesterol esters in very large HDL	-0.212986107	0.001622023	-0.345430192	-0.080542022	BMI_European_women	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Free cholesterol in very large HDL	-0.240476315	0.000215934	-0.367877326	-0.113075304	BMI_European_women	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Total lipids in very large HDL	-0.262160721	0.000137127	-0.396909088	-0.127412354	BMI_European_women	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Concentration of very large HDL particles	-0.237667884	0.000440762	-0.370216852	-0.105118915	BMI_European_women	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL
Phospholipids in very large HDL	-0.307086429	1.07E-05	-0.443774151	-0.170398707	BMI_European_women	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Triglycerides in very large HDL	-0.064903921	0.287332974	-0.184464837	0.054656994	BMI_European_women	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL
Total lipids in very large VLDL	0.165211144	0.014844025	0.03229149	0.298130797	BMI_European_women	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
Concentration of very large VLDL particles	0.210027459	0.003750636	0.067999844	0.352055073	BMI_European_women	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL
Phospholipids in very large VLDL	0.204986837	0.000308721	0.093626332	0.316347342	BMI_European_women	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
Triglycerides in very large VLDL	0.194046368	0.000273221	0.089544085	0.298548652	BMI_European_women	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
Total lipids in very small VLDL	0.046317594	0.54656659	-0.104255522	0.19689071	BMI_European_women	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
Concentration of very small VLDL particles	0.070191966	0.35098778	-0.077315203	0.217699134	BMI_European_women	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL
Phospholipids in very small VLDL	0.010509656	0.889546091	-0.137813613	0.158832926	BMI_European_women	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
Triglycerides in very small VLDL	0.123772794	0.131611591	-0.037122792	0.284668379	BMI_European_women	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
Total lipids in chylomicrons and extremely large VLDL	0.172343593	0.011817934	0.038167311	0.306519875	BMI_European_women	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
Concentration of chylomicrons and extremely large VLDL particles	0.119304097	0.086046842	-0.016913995	0.255522189	BMI_European_women	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL
Phospholipids in chylomicrons and extremely large VLDL	0.163888107	0.004528691	0.050733469	0.277042745	BMI_European_women	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
Triglycerides in chylomicrons and extremely large VLDL	0.177596347	0.001617533	0.067187517	0.288005176	BMI_European_women	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
