exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Concentration of very large HDL particles	Lipoprotein subclasses	Very large HDL	-0.158408776852948	-0.236118860119267	-0.0806986935866288	6.45909527178953e-05
BMI	Phospholipids in very large HDL	Lipoprotein subclasses	Very large HDL	-0.1784871351125	-0.261306042404375	-0.095668227820625	2.39904740027837e-05
BMI	Triglycerides in very large HDL	Lipoprotein subclasses	Very large HDL	-0.0204643657431004	-0.0988151683009201	0.0578864368147193	0.608699728735249
BMI	Total lipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.133432129277116	0.0459676552891511	0.220896603265081	0.0027889187348626
BMI	Concentration of very large VLDL particles	Lipoprotein subclasses	Very large VLDL	0.135231567599949	0.0450674190222976	0.2253957161776	0.00328549864735106
BMI	Phospholipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.158076004359124	0.0711039383510168	0.245048070367231	0.000367485046065726
BMI	Triglycerides in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.147894763253448	0.0639129672531472	0.231876559253749	0.000557219876795454
BMI	Total lipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.0951743484510917	0.00292075481025275	0.187427942091931	0.0431708015663635
BMI	Concentration of very small VLDL particles	Lipoprotein subclasses	Very Small VLDL	0.108610233324342	0.016667705130447	0.200552761518237	0.0205956146007039
BMI	Phospholipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.0820159439249406	-0.0115906585706686	0.17562254642055	0.0859231398009941
BMI	Triglycerides in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.133280462887539	0.0347535134882606	0.231807412286817	0.00801700404411446
BMI	Total lipids in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.142832638719897	0.0559294230235956	0.229735854416198	0.00127555967886439
BMI	Concentration of chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.0966876863492026	0.00812674530654922	0.185248627391856	0.0323662195264747
BMI	Phospholipids in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.136167793736434	0.05472297030681	0.217612617166058	0.00104942882912799
BMI	Triglycerides in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.129157394321893	0.0403346762577765	0.217980112386009	0.00437134318191585
